first_name,last_name,GP,G,A,TP,PIM,+/-,team
Sam,Ranallo,5,0,0,0,0,-1,Univ. of St. Thomas
Carson,Peters,19,0,0,0,0,-2,Univ. of St. Thomas
Colin,Kessler,32,8,15,23,12,0,Univ. of Vermont
Jonah,Aegerter,30,7,7,14,8,2,Univ. of Vermont
Jens,Richards,32,5,8,13,18,4,Univ. of Vermont
Sebastian,Törnqvist,33,5,8,13,14,-8,Univ. of Vermont
Matteo,Michels,32,3,7,10,10,1,Univ. of Vermont
Cédrick,Guindon,30,2,8,10,23,-17,Univ. of Vermont
Massimo,Lombardi,26,5,4,9,8,-8,Univ. of Vermont
Blake,Steenerson,30,4,5,9,6,-2,Univ. of Vermont
Thomas,Sinclair,32,3,6,9,10,-11,Univ. of Vermont
Philip,Törnqvist,30,2,7,9,16,-2,Univ. of Vermont
Jack,Malinski,21,1,8,9,8,5,Univ. of Vermont
Ethan,Burroughs,27,6,2,8,8,-6,Univ. of Vermont
Caeden,Herrington,32,1,7,8,14,-13,Univ. of Vermont
Jax,Wismer,29,2,5,7,4,-10,Univ. of Vermont
Max,Strand,28,5,1,6,6,-19,Univ. of Vermont
Daniel,Sambuco,28,5,0,5,16,-12,Univ. of Vermont
Dawson,Good,32,2,3,5,22,-7,Univ. of Vermont
Zach,Filak,18,1,3,4,10,-4,Univ. of Vermont
Duncan,Ramsay,30,0,2,2,8,-8,Univ. of Vermont
David,Sacco,9,0,1,1,0,-1,Univ. of Vermont
Tyler,Dysart,11,0,1,1,6,-3,Univ. of Vermont
Dylan,Gratton,22,0,1,1,2,-6,Univ. of Vermont
Xavier,Henry,6,0,0,0,0,-1,Univ. of Vermont
Charlie,Kinsman,14,0,0,0,0,-4,Univ. of Vermont
P.J.,Forgione,17,0,0,0,6,-4,Univ. of Vermont
Gavin,Morrissey,29,6,23,29,2,3,Univ. of Wisconsin
Christian,Fitzgerald,32,15,12,27,22,-5,Univ. of Wisconsin
Quinn,Finley,30,13,12,25,20,-5,Univ. of Wisconsin
Ben,Dexheimer,32,6,16,22,6,-4,Univ. of Wisconsin
Simon,Tassy,32,10,9,19,28,1,Univ. of Wisconsin
Luke,Osburn,26,5,14,19,14,-1,Univ. of Wisconsin
Oliver,Tulk,32,5,14,19,16,3,Univ. of Wisconsin
Ryan,Botterill,30,8,8,16,12,6,Univ. of Wisconsin
Blake,Montgomery,32,8,7,15,35,-9,Univ. of Wisconsin
Tyson,Dyck,24,5,10,15,22,1,Univ. of Wisconsin
Grady,Deering,32,6,8,14,41,6,Univ. of Wisconsin
Joe,Palodichuk,29,3,11,14,18,12,Univ. of Wisconsin
Vasily,Zelenov,21,4,9,13,21,5,Univ. of Wisconsin
Logan,Hensler,23,4,8,12,20,6,Univ. of Wisconsin
Finn,Brink,20,4,7,11,12,8,Univ. of Wisconsin
Adam,Pietila,24,6,3,9,28,2,Univ. of Wisconsin
Kyle,Kukkonen,22,2,4,6,8,-8,Univ. of Wisconsin
Aiden,Dubinsky,32,2,4,6,12,4,Univ. of Wisconsin
Jack,Horbach,32,2,4,6,32,5,Univ. of Wisconsin
Jack,Phelan,30,0,6,6,14,2,Univ. of Wisconsin
Bruno,Idzan,20,2,3,5,14,3,Univ. of Wisconsin
Zach,Schulz,12,0,3,3,12,8,Univ. of Wisconsin
Weston,Knox,13,1,1,2,12,-1,Univ. of Wisconsin
Grant,Slukynsky,34,8,29,37,6,17,Western Michigan Univ.
Liam,Valente,34,19,13,32,18,14,Western Michigan Univ.
William,Whitelaw,34,18,14,32,47,15,Western Michigan Univ.
Zaccharya,Wisdom,34,16,11,27,21,19,Western Michigan Univ.
Owen,Michaels,34,11,13,24,6,10,Western Michigan Univ.
Samuel,Sjölund,34,6,17,23,16,8,Western Michigan Univ.
Ty,Henricks,34,9,13,22,43,4,Western Michigan Univ.
Bobby,Cowan,34,5,16,21,23,0,Western Michigan Univ.
Zack,Sharp,32,5,14,19,18,19,Western Michigan Univ.
Zachary,Nehring,30,5,12,17,8,7,Western Michigan Univ.
Iiro,Hakkarainen,33,7,9,16,14,3,Western Michigan Univ.
Zach,Bookman,33,3,11,14,16,6,Western Michigan Univ.
Theo,Wallberg,32,1,12,13,20,17,Western Michigan Univ.
Garrett,Szydlowski,34,3,6,9,6,3,Western Michigan Univ.
Samuel,Huck,19,4,4,8,2,6,Western Michigan Univ.
Cole,Crusberg-Roseen,18,0,7,7,8,-1,Western Michigan Univ.
Joona,Väisänen,7,0,6,6,2,4,Western Michigan Univ.
Colby,Woogk,30,1,4,5,12,10,Western Michigan Univ.
Ryan,Kusler,11,0,5,5,2,4,Western Michigan Univ.
Cole,Spicer,8,2,2,4,4,5,Western Michigan Univ.
Alexander,Calbeck,12,1,3,4,0,1,Western Michigan Univ.
Tyler,MacKenzie,24,0,4,4,4,1,Western Michigan Univ.
Jamison,Sluys,20,2,1,3,6,-3,Western Michigan Univ.
Grady,Gallatin,11,1,1,2,6,5,Western Michigan Univ.
Zach,Bade,14,0,1,1,0,-1,Western Michigan Univ.
Ryan,Humphrey,8,0,0,0,4,0,Western Michigan Univ.
Ronan,O'Donnell,27,11,11,22,8,-7,Yale Univ.
David,Chen,30,7,15,22,14,-9,Yale Univ.
Donovan,Frias,30,6,15,21,22,5,Yale Univ.
Micah,Berger,30,7,10,17,6,-10,Yale Univ.
David,Andreychuk,29,6,7,13,16,0,Yale Univ.
Iisai,Pesonen,27,5,7,12,25,-1,Yale Univ.
James,Shannon,29,5,6,11,4,-3,Yale Univ.
Rhys,Bentham,30,4,7,11,16,0,Yale Univ.
Beanie,Richter,30,7,3,10,2,-13,Yale Univ.
Zachary,Wagnon,30,4,6,10,28,-14,Yale Univ.
Hughie,Hooker,25,1,8,9,4,-21,Yale Univ.
Tom,Molson,20,3,5,8,2,-7,Yale Univ.
Owen,Forester,23,1,7,8,16,5,Yale Univ.
Dylan,Hunt,30,0,8,8,12,-6,Yale Univ.
Kalen,Szeto,30,3,2,5,4,-5,Yale Univ.
Hudson,Miller,30,2,2,4,22,-13,Yale Univ.
Joseph,Blackley,9,2,1,3,0,-4,Yale Univ.
Kurt,Gurkan,12,1,2,3,2,-4,Yale Univ.
Elan,Bar-Lev-Wise,11,1,0,1,2,-6,Yale Univ.
Julian,Frias,16,1,0,1,4,-8,Yale Univ.
Jojo,Tanaka-Campbell,4,0,1,1,0,1,Yale Univ.
Seiya,Tanaka-Campbell,4,0,1,1,0,-3,Yale Univ.
Bayard,Hall,22,0,1,1,2,-5,Yale Univ.
Tucker,Hartmann,29,0,1,1,10,-8,Yale Univ.
Braden,Keeble,13,0,0,0,2,-8,Yale Univ.
